0,02284265 -0,2563786 0,1964981 0,08781111 -0,169329 0,1896068 0,1427846 -0,174899 0,261488
0,06001198 -0,213094 0,2270506 0,0852443 -0,155532 0,1957497 0,1655136 -0,1713804 0,2850818
0,1022847 -0,1904224 0,2148801 0,1189522 -0,1692319 0,2073929 0,1576306 -0,1725155 0,2787652
0,06082487 -0,2115636 0,2283926 0,08737707 -0,1600915 0,1967682 0,1569179 -0,1723574 0,2787217
0,06055081 -0,2116721 0,2281102 0,08615685 -0,1587858 0,1959287 0,157115 -0,1721153 0,279207
0,06047893 -0,2117165 0,2280603 0,08545232 -0,1557404 0,1953609 0,1585846 -0,1718512 0,281703
0,05940282 -0,2123069 0,2271069 0,08509803 -0,1551149 0,1932945 0,1616223 -0,1716323 0,2826674
0,1052926 -0,1883229 0,2205489 0,1166023 -0,164362 0,1998537 0,1583055 -0,1722698 0,2786251
0,1063675 -0,1879478 0,2211383 0,1177692 -0,1660535 0,2015748 0,1583673 -0,1721092 0,279198
0,1063464 -0,1877837 0,2212123 0,1205428 -0,1705044 0,2048025 0,1588576 -0,1718244 0,2793352
0,1062832 -0,1876275 0,2212746 0,1223004 -0,1711191 0,206987 0,1594172 -0,1714761 0,2806342
0,1072552 -0,1873306 0,2216073 0,1248599 -0,1753888 0,2091831 0,1579379 -0,171554 0,2789696
0,1077021 -0,1871401 0,2218336 0,1255935 -0,1750044 0,2089684 0,1568203 -0,1716192 0,2786162
0,107669 -0,1870982 0,2218934 0,1274416 -0,1773355 0,2122213 0,15829 -0,1713884 0,2789328
0,1077895 -0,1867766 0,2222707 0,1267892 -0,1771276 0,2120323 0,1583048 -0,1711934 0,2790169
0,1069427 -0,1865569 0,222647 0,1275377 -0,1797171 0,2113821 0,1504762 -0,1731405 0,272702
0,1056011 -0,1862752 0,2234843 0,1258175 -0,1783582 0,2125036 0,1544015 -0,1717024 0,2773236
0,105408 -0,1859809 0,2240845 0,1251796 -0,1784089 0,2122034 0,1552006 -0,1715459 0,2773079
0,1051261 -0,1856623 0,2247851 0,1275381 -0,1795928 0,213475 0,1566547 -0,1712291 0,2786309
0,1066096 -0,1853829 0,2253902 0,1270565 -0,1805774 0,2130964 0,1568041 -0,171151 0,2786478
0,1073359 -0,185209 0,2251232 0,1295388 -0,1822426 0,2139958 0,1571238 -0,171475 0,2782991
0,1076154 -0,1850996 0,22544 0,1309103 -0,1831388 0,2151166 0,153042 -0,1824151 0,2635009
0,1076185 -0,1850778 0,2248342 0,1299948 -0,1829083 0,2158423 0,1558079 -0,1739223 0,2750752
0,108189 -0,1849999 0,225022 0,1310577 -0,1837673 0,2147675 0,1495445 -0,1756353 0,2689129
0,1085088 -0,184918 0,2252008 0,1308488 -0,1833989 0,2152576 0,1519279 -0,1754404 0,2697219
0,1087903 -0,184819 0,2253649 0,1329743 -0,185391 0,2163697 0,1550314 -0,184336 0,2593371
0,1096804 -0,1846606 0,2258365 0,1334425 -0,1852439 0,2162361 0,152169 -0,1840384 0,259657
0,1109775 -0,1842683 0,2268484 0,1348462 -0,1856489 0,2167138 0,1525466 -0,177019 0,2682166
0,1113349 -0,1841956 0,226959 0,136771 -0,1855997 0,2164237 0,1548249 -0,1752768 0,2702704
0,1125126 -0,1839826 0,2271775 0,1412266 -0,185947 0,2171393 0,1628077 -0,1701517 0,2769169
0,1154779 -0,1837859 0,2271506 0,1466122 -0,1864474 0,2179191 0,1634794 -0,1704645 0,2744845
0,1206433 -0,1837372 0,2269533 0,1555755 -0,1897351 0,2186674 0,16344 -0,170901 0,2708238
0,1257199 -0,1837747 0,2258791 0,1645995 -0,1913198 0,2190492 0,2467752 -0,209901 0,2239273
0,1284544 -0,1837854 0,225375 0,1702821 -0,1926154 0,2181667 0,1837188 -0,1718728 0,2710226
0,1368998 -0,1838756 0,2244808 0,1791433 -0,1940452 0,2156166 0,1843941 -0,1726837 0,2700216
0,1420683 -0,1845376 0,2234832 0,1856941 -0,1948399 0,2131021 0,1933172 -0,1754153 0,2643878
0,146668 -0,185123 0,2217478 0,1947892 -0,1963572 0,211112 0,2007359 -0,1735579 0,2622835
0,1612846 -0,1813361 0,2278992 0,2049655 -0,1966385 0,2095026 0,2155849 -0,1739133 0,26352
0,1755677 -0,1793132 0,2338487 0,2136642 -0,1976394 0,2072957 0,2268825 -0,1739105 0,2637694
0,18264 -0,1802831 0,230969 0,2237537 -0,199064 0,2058581 0,2353001 -0,1736064 0,2603654
0,1969969 -0,1812499 0,2277001 0,2276129 -0,1985814 0,2044055 0,2429243 -0,1766363 0,2547971
0,2055981 -0,1814165 0,2263712 0,1989287 -0,1988501 0,2001361 0,2532618 -0,1786387 0,2476415
0,1985195 -0,1988544 0,2199743 0,2342681 -0,1989332 0,2013159 0,2695152 -0,1791876 0,2383452
0,204275 -0,2054031 0,219261 0,2323686 -0,2020072 0,1931551 0,2925719 -0,1792759 0,2405021
0,2272995 -0,2129054 0,2137603 0,2367072 -0,1999854 0,1960044 0,3022915 -0,1804106 0,2382292
0,1763473 -0,2366147 0,2116525 0,2237996 -0,2173313 0,1890193 0,3067906 -0,1724288 0,2335475
0,1864063 -0,2403331 0,2139742 0,2414403 -0,2175492 0,1925363 0,3307718 -0,1713321 0,2465763
0,1976299 -0,2416146 0,2182408 0,2443627 -0,2193539 0,1929286 0,3039464 -0,175405 0,2203431
0,2091583 -0,2431114 0,2212631 0,2496074 -0,2213728 0,1954323 0,3600665 -0,1891329 0,2171064
0,2182394 -0,2437704 0,2254586 0,2701051 -0,218797 0,1974605 0,3522668 -0,170568 0,2432381
0,2297866 -0,2446914 0,2254215 0,2773623 -0,2190885 0,1996528 0,3660384 -0,167299 0,2589209
0,2353952 -0,2368185 0,2195386 0,2901081 -0,218037 0,2012932 0,3702722 -0,1687259 0,2477528
0,2442145 -0,2356566 0,2156282 0,3036495 -0,2181335 0,2029745 0,3818527 -0,1699547 0,2449825
0,3170567 -0,211041 0,246824 0,331553 -0,2110432 0,2179192 0,4123101 -0,1734321 0,2785805
0,3161836 -0,2099859 0,2578128 0,3427935 -0,2094446 0,222662 0,4242395 -0,1745344 0,278699
0,2991483 -0,2244642 0,197285 0,3347208 -0,2188539 0,2091521 0,4110409 -0,1693207 0,2532175
0,3102996 -0,2230424 0,2032851 0,3547446 -0,2154007 0,2143388 0,4185709 -0,1699381 0,2535433
0,2896775 -0,243311 0,2579608 0,47393 -0,1987251 0,2556353 0,4671229 -0,1673712 0,3020516
0,2900743 -0,2433761 0,2584336 0,4446374 -0,2012341 0,2468621 0,463917 -0,1717756 0,2895402
0,2975601 -0,2423541 0,2565641 0,4406296 -0,2027919 0,2443499 0,4782064 -0,1746813 0,2858344
0,318478 -0,2393701 0,2516187 0,4319204 -0,206273 0,2369152 0,4824262 -0,1721037 0,2887069
0,35683 -0,2207949 0,2225754 0,4234475 -0,2093709 0,2319005 0,4778875 -0,1646775 0,2808095
0,3554987 -0,2233911 0,2300021 0,5046798 -0,1961654 0,2594916 0,5047965 -0,168008 0,2996759
0,3593162 -0,2224547 0,231015 0,510571 -0,1931911 0,2612077 0,5129904 -0,1650141 0,3032067
0,3923353 -0,2152281 0,2358381 0,5251662 -0,1912562 0,2634146 0,5239087 -0,1643086 0,3030068
0,3922286 -0,2150699 0,235947 0,5284147 -0,1872841 0,2642312 0,5371821 -0,1614695 0,302109
0,406788 -0,2113814 0,2281856 0,549485 -0,1836945 0,2680378 0,5460292 -0,1554595 0,3074282
0,4192693 -0,2009876 0,2381404 0,5348947 -0,179569 0,2660524 0,5562441 -0,1514712 0,3045535
0,4179306 -0,2009194 0,241447 0,5865926 -0,1714979 0,2788171 0,5772176 -0,1388833 0,3250268
0,4307142 -0,1957784 0,2443249 0,5970815 -0,1678145 0,2794398 0,5774103 -0,1368881 0,3214109
0,4341087 -0,1925676 0,2492415 0,6059453 -0,1632989 0,2806179 0,5896118 -0,1287609 0,3257291
0,4384069 -0,189965 0,2474594 0,6139263 -0,1613001 0,2777284 0,5951036 -0,1266368 0,3200621
0,543398 -0,1818641 0,2914686 0,6285217 -0,1550396 0,2797108 0,6277957 -0,1119538 0,3339344
0,5461049 -0,1811548 0,288348 0,6373206 -0,1532044 0,2744629 0,6378849 -0,1114914 0,3271475
0,5468445 -0,1813765 0,2866855 0,6490798 -0,152245 0,2695555 0,6477211 -0,1106939 0,3212135
0,5464996 -0,1806358 0,2788823 0,6646646 -0,1513838 0,2637709 0,6606194 -0,1041651 0,319524
0,5580063 -0,1786494 0,2774169 0,6735594 -0,1494059 0,2572678 0,6593592 -0,1074119 0,30829
0,5611562 -0,1789297 0,2751157 0,6706253 -0,1462484 0,2539624 0,6662536 -0,1086776 0,3022294
0,562634 -0,1785143 0,2677083 0,6640962 -0,1479349 0,2540828 0,6713736 -0,1118484 0,2945363
0,5677115 -0,1682978 0,280466 0,6597844 -0,1509089 0,2542687 0,6799035 -0,1139547 0,2872176
0,4809763 -0,1675815 0,2506908 0,6545991 -0,150755 0,2536253 0,669422 -0,1175696 0,2908937
0,4797789 -0,1676331 0,2504865 0,6456629 -0,1498902 0,2552181 0,6754916 -0,1174363 0,2901017
0,4781504 -0,167219 0,2498018 0,6424139 -0,1516961 0,2523494 0,6698391 -0,1208552 0,2903638
